Gene,p value Asian,mutation rates
CCZ1B,4.91443932977982e-08,0.333333333333333
CD101,4.91443932977982e-08,0.333333333333333
CD109,4.91443932977982e-08,0.333333333333333
CD163,4.91443932977982e-08,0.333333333333333
CD163L1,4.91443932977982e-08,0.333333333333333
CD200R1,4.91443932977982e-08,0.333333333333333
CD200R1L,4.91443932977982e-08,0.333333333333333
CD2AP,4.91443932977982e-08,0.333333333333333
CD300LB,4.91443932977982e-08,0.333333333333333
CD40LG,4.91443932977982e-08,0.333333333333333
CD48,4.91443932977982e-08,0.333333333333333
CD55,4.91443932977982e-08,0.333333333333333
CD5L,4.91443932977982e-08,0.333333333333333
CD84,4.91443932977982e-08,0.333333333333333
CD99,4.91443932977982e-08,0.333333333333333
CD99L2,4.91443932977982e-08,0.333333333333333
CDADC1,4.91443932977982e-08,0.333333333333333
CDC14A,4.91443932977982e-08,0.333333333333333
CDC14C,4.91443932977982e-08,0.333333333333333
CDC16,4.91443932977982e-08,0.333333333333333
CDC27,4.91443932977982e-08,0.333333333333333
CDC5L,4.91443932977982e-08,0.333333333333333
CDC6,4.91443932977982e-08,0.333333333333333
CDC73,4.91443932977982e-08,0.333333333333333
CDCA7L,4.91443932977982e-08,0.333333333333333
CDH11,4.91443932977982e-08,0.333333333333333
CDH17,4.91443932977982e-08,0.333333333333333
CDH19,4.91443932977982e-08,0.333333333333333
CDH23,4.91443932977982e-08,0.333333333333333
CDH26,4.91443932977982e-08,0.333333333333333
CDH8,4.91443932977982e-08,0.333333333333333
CDHR1,4.91443932977982e-08,0.333333333333333
CDHR3,4.91443932977982e-08,0.333333333333333
CDK1,4.91443932977982e-08,0.333333333333333
CDK15,4.91443932977982e-08,0.333333333333333
CDK19,4.91443932977982e-08,0.333333333333333
CDKL1,4.91443932977982e-08,0.333333333333333
CDKN2A,4.91443932977982e-08,0.333333333333333
CDR1,4.91443932977982e-08,0.333333333333333
CEACAM18,4.91443932977982e-08,0.333333333333333
CEBPZ,4.91443932977982e-08,0.333333333333333
CELA2A,4.91443932977982e-08,0.333333333333333
CELSR2,4.91443932977982e-08,0.333333333333333
CENPE,4.91443932977982e-08,0.333333333333333
CENPF,4.91443932977982e-08,0.333333333333333
CENPI,4.91443932977982e-08,0.333333333333333
CENPJ,4.91443932977982e-08,0.333333333333333
CENPK,4.91443932977982e-08,0.333333333333333
CEP104,4.91443932977982e-08,0.333333333333333
CEP112,4.91443932977982e-08,0.333333333333333
CEP126,4.91443932977982e-08,0.333333333333333
CEP152,4.91443932977982e-08,0.333333333333333
CEP162,4.91443932977982e-08,0.333333333333333
CEP192,4.91443932977982e-08,0.333333333333333
CEP250,4.91443932977982e-08,0.333333333333333
CEP290,4.91443932977982e-08,0.333333333333333
CEP55,4.91443932977982e-08,0.333333333333333
CEP83,4.91443932977982e-08,0.333333333333333
CEP95,4.91443932977982e-08,0.333333333333333
CEP97,4.91443932977982e-08,0.333333333333333
CERS5,4.91443932977982e-08,0.333333333333333
CES5A,4.91443932977982e-08,0.333333333333333
CETP,4.91443932977982e-08,0.333333333333333
CFAP69,4.91443932977982e-08,0.333333333333333
CFAP97,4.91443932977982e-08,0.333333333333333
CFHR5,4.91443932977982e-08,0.333333333333333
CFLAR,4.91443932977982e-08,0.333333333333333
CFTR,4.91443932977982e-08,0.333333333333333
CGB7,4.91443932977982e-08,0.333333333333333
CHCHD5,4.91443932977982e-08,0.333333333333333
CHD1,4.91443932977982e-08,0.333333333333333
CHD6,4.91443932977982e-08,0.333333333333333
CHD8,4.91443932977982e-08,0.333333333333333
CHGB,4.91443932977982e-08,0.333333333333333
CHIT1,4.91443932977982e-08,0.333333333333333
CHL1,4.91443932977982e-08,0.333333333333333
CHORDC1,4.91443932977982e-08,0.333333333333333
CHRDL1,4.91443932977982e-08,0.333333333333333
CHRDL2,4.91443932977982e-08,0.333333333333333
CHRM5,4.91443932977982e-08,0.333333333333333
CHRNA1,4.91443932977982e-08,0.333333333333333
CHST10,4.91443932977982e-08,0.333333333333333
CHST11,4.91443932977982e-08,0.333333333333333
CIAPIN1,4.91443932977982e-08,0.333333333333333
CILP,4.91443932977982e-08,0.333333333333333
CIPC,4.91443932977982e-08,0.333333333333333
CIR1,4.91443932977982e-08,0.333333333333333
CKAP4,4.91443932977982e-08,0.333333333333333
CKAP5,4.91443932977982e-08,0.333333333333333
CLASP1,4.91443932977982e-08,0.333333333333333
CLCA1,4.91443932977982e-08,0.333333333333333
CLCA4,4.91443932977982e-08,0.333333333333333
CLCN4,4.91443932977982e-08,0.333333333333333
CLCN7,4.91443932977982e-08,0.333333333333333
CLDN19,4.91443932977982e-08,0.333333333333333
CLDN20,4.91443932977982e-08,0.333333333333333
CLDND1,4.91443932977982e-08,0.333333333333333
CLEC10A,4.91443932977982e-08,0.333333333333333
CLEC14A,4.91443932977982e-08,0.333333333333333
CLEC4A,4.91443932977982e-08,0.333333333333333
CLEC4E,4.91443932977982e-08,0.333333333333333
CLEC4GP1,4.91443932977982e-08,0.333333333333333
CLEC5A,4.91443932977982e-08,0.333333333333333
CLINT1,4.91443932977982e-08,0.333333333333333
CLLU1OS,4.91443932977982e-08,0.333333333333333
CLNK,4.91443932977982e-08,0.333333333333333
CLNS1A,4.91443932977982e-08,0.333333333333333
CLPX,4.91443932977982e-08,0.333333333333333
CLRN1,4.91443932977982e-08,0.333333333333333
CLSPN,4.91443932977982e-08,0.333333333333333
CLSTN1,4.91443932977982e-08,0.333333333333333
CLSTN2,4.91443932977982e-08,0.333333333333333
CLTB,4.91443932977982e-08,0.333333333333333
CLTC,4.91443932977982e-08,0.333333333333333
CLYBL,4.91443932977982e-08,0.333333333333333
CMC4,4.91443932977982e-08,0.333333333333333
CMKLR1,4.91443932977982e-08,0.333333333333333
CMTM5,4.91443932977982e-08,0.333333333333333
CMTM7,4.91443932977982e-08,0.333333333333333
CNBD1,4.91443932977982e-08,0.333333333333333
CNDP1,4.91443932977982e-08,0.333333333333333
CNGA1,4.91443932977982e-08,0.333333333333333
CNGB3,4.91443932977982e-08,0.333333333333333
CNKSR1,4.91443932977982e-08,0.333333333333333
CNNM1,4.91443932977982e-08,0.333333333333333
CNNM4,4.91443932977982e-08,0.333333333333333
CNOT4,4.91443932977982e-08,0.333333333333333
CNR2,4.91443932977982e-08,0.333333333333333
CNTD1,4.91443932977982e-08,0.333333333333333
