"","Gene","p value"
"611","ERI3","0.569997928420165"
"612","RNF220","0.858326574223094"
"613","TMEM53","0.569997928420165"
"614","C1orf228","1"
"615","KIF2C","0.367035015390571"
"616","RPS8","1"
"617","BEST4","NaN"
"618","PLK3","0.999999999999999"
"619","TCTEX1D4","NaN"
"620","BTBD19","0.117197911756402"
"621","PTCH2","0.569997928420165"
"622","EIF2B3","0.999999999999999"
"623","HECTD3","0.999999999999999"
"624","UROD","1"
"625","ZSWIM5","1"
"626","HPDL","1"
"627","MUTYH","1"
"628","TOE1","NaN"
"629","TESK2","1"
"630","CCDC163P","1"
"631","MMACHC","1"
"632","PRDX1","0.367035015390571"
"633","AKR1A1","1"
"634","NASP","1"
"635","CCDC17","0.569997928420165"
"636","GPBP1L1","1"
"637","TMEM69","NaN"
"638","IPP","0.999999999999999"
"639","MAST2","0.398167387929016"
"640","PIK3R3","0.999999999999999"
"641","TSPAN1","0.999999999999999"
"642","POMGNT1","0.0648841218305601"
"643","LURAP1","NaN"
"644","RAD54L","0.999999999999999"
"645","LRRC41","0.999999999999998"
"646","UQCRH","1"
"647","NSUN4","0.999999999999999"
"648","FAAH","0.943593186630093"
"649","DMBX1","NaN"
"650","KNCN","NaN"
"651","MKNK1","1"
"652","MOB3C","NaN"
"653","ATPAF1","0.999999999999999"
"654","EFCAB14","0.858326574223094"
"655","TEX38","NaN"
"656","CYP4B1","1"
"657","CYP4Z2P","1"
"658","CYP4A11","0.999999999999999"
"659","CYP4X1","1"
"660","CYP4Z1","1"
"661","CYP4A22","0.999999999999999"
"662","PDZK1IP1","1"
"663","TAL1","1"
"664","STIL","0.858326574223094"
"665","CMPK1","1"
"666","FOXE3","NaN"
"667","FOXD2","NaN"
"668","TRABD2B","NaN"
"669","SLC5A9","0.999999999999999"
"670","SPATA6","0.999999999999999"
"671","AGBL4","1"
"672","BEND5","0.569997928420165"
"673","ELAVL4","0.999999999999999"
"674","RP11-183G22.1","NaN"
"675","DMRTA2","1"
"676","FAF1","0.999999999999999"
"677","CDKN2C","1"
"678","C1orf185","1"
"679","CFL1P2","NaN"
"680","RNF11","NaN"
"681","TTC39A","0.729446774486572"
"682","EPS15","0.943593186630093"
"683","OSBPL9","0.999999999999999"
"684","SNORA26","NaN"
"685","NRD1","0.999999999999999"
"686","RAB3B","1"
"687","TXNDC12","NaN"
"688","KTI12","1"
"689","BTF3L4","1"
"690","ZFYVE9","0.999999999999999"
"691","CC2D1B","0.999999999999999"
"692","ORC1","0.999999999999999"
"693","PRPF38A","0.858326574223094"
"694","ZCCHC11","0.999999999999999"
"695","GPX7","1"
"696","FAM159A","NaN"
"697","ZYG11B","1"
"698","ZYG11A","1"
"699","ECHDC2","1"
"700","SCP2","0.0425523309169088"
"701","PODN","0.367035015390571"
"702","SLC1A7","0.999999999999999"
"703","CPT2","0.864970730776298"
"704","C1orf123","1"
"705","MAGOH","NaN"
"706","LRP8","0.943593186630093"
"707","SLC25A3P1","NaN"
"708","DMRTB1","NaN"
"709","GLIS1","1"
"710","NDC1","0.999999999999999"
"711","YIPF1","1"
"712","DIO1","1"
"713","HSPB11","1"
"714","LRRC42","1"
"715","LDLRAD1","1"
"716","TMEM59","1"
"717","TCEANC2","1"
"718","CDCP2","1"
"719","CYB5RL","1"
"720","MRPL37","NaN"
"721","SSBP3","1"
"722","ACOT11","0.999999999999999"
"723","FAM151A","1"
"724","MROH7","0.999999999999999"
"725","TTC4","1"
"726","PARS2","1"
"727","TTC22","1"
"728","C1orf177","1"
"729","DHCR24","0.999999999999999"
"730","TMEM61","NaN"
"731","BSND","1"
"732","PCSK9","NaN"
"733","USP24","0.864970730776298"
"734","RP11-466L17.1","1"
"735","PPAP2B","1"
"736","PRKAA2","0.999999999999999"
"737","C1orf168","0.796110323709933"
"738","C8A","0.858326574223094"
"739","C8B","0.999999999999999"
"740","DAB1","0.796110323709933"
"741","RP11-393I23.4","NaN"
"742","OMA1","0.943593186630093"
"743","TACSTD2","1"
"744","MYSM1","0.999999999999999"
"745","JUN","0.729446774486572"
"746","FGGY","1"
"747","HOOK1","0.999999999999998"
"748","CYP2J2","1"
"749","C1orf87","1"
"750","NFIA","0.569997928420165"
"751","TM2D1","1"
"752","INADL","0.796110323709933"
"753","L1TD1","0.999999999999999"
"754","KANK4","0.943593186630093"
"755","USP1","0.943593186630093"
"756","DOCK7","0.618916717347451"
"757","ANGPTL3","0.858326574223094"
"758","ATG4C","1"
"759","FOXD3","1"
"760","ALG6","0.999999999999999"
"761","ITGB3BP","0.858326574223094"
